PE_RATIO
DIVIDEND_INDICATED_YIELD
EQY_DVD_YLD_12M
EQY_DVD_YLD_12M_NET
SHAREHOLDER_YIELD_EX_DEBT
SHAREHOLDER_YIELD
PX_TO_BOOK_RATIO
RETURN_COM_EQY
PX_TO_CASH_FLOW
PX_TO_FREE_CASH_FLOW
PX_TO_SALES_RATIO
BS_SH_OUT
SALES_REV_TURN
IS_COGS_TO_FE_AND_PP_AND_G
IS_OPERATING_EXPN
IS_OPER_INC
IS_INT_EXPENSE
IS_FOREIGN_EXCH_LOSS
IS_NET_NON_OPER_LOSS
IS_INC_TAX_EXP
IS_INC_BEF_XO_ITEM
IS_XO_LOSS_BEF_TAX_EFF

MIN_NONCONTROL_INTEREST_CREDITS
NET_INCOME
EBIT
PRETAX_INC
IS_TOT_CASH_PFD_DVD
IS_TOT_CASH_COM_DVD
REINVEST_EARN
IS_DEPR_EXP
IS_RD_EXPEND
BS_CASH_NEAR_CASH_ITEM
BS_MKT_SEC_OTHER_ST_INVEST
BS_ACCT_NOTE_RCV
BS_INVENTORIES
BS_OTHER_CUR_ASSET
BS_CUR_ASSET_REPORT
BS_GROSS_FIX_ASSET
BS_ACCUM_DEPR
BS_NET_FIX_ASSET
BS_LT_INVEST
BS_OTHER_ASSETS_DEF_CHRG_OTHER
BS_TOT_ASSET
BS_ACCT_PAYABLE
BS_ST_BORROW
BS_OTHER_ST_LIAB
BS_CUR_LIAB
BS_LT_BORROW
BS_OTHER_LT_LIABILITIES
BS_TOT_LIAB2
BS_PFD_EQTY_&_HYBRID_CPTL
MINORITY_NONCONTROLLING_INTEREST
TOT_COMMON_EQY
TOTAL_EQUITY
TOT_LIAB_AND_EQY
CF_NET_INC
CF_DEPR_AMORT
CF_OTHER_NON_CASH_ADJUST
CF_CHNG_NON_CASH_WORK_CAP
CF_CASH_FROM_OPER
CF_DISP_FIX_ASSET
CF_CAP_EXPEND_PRPTY_ADD
CF_DECR_INVEST
CF_INCR_INVEST
CF_OTHER_INV_ACT
CF_CASH_FROM_INV_ACT
CF_DVD_PAID
CF_INCR_ST_BORROW
CF_INCR_LT_BORROW
CF_REIMB_LT_BORROW
CF_INCR_CAP_STOCK
CF_DECR_CAP_STOCK
CF_OTHER_FNC_ACT
CF_CASH_FROM_FNC_ACT
CF_NET_CHNG_CASH
CF_CASH_PAID_FOR_TAX
CF_ACT_CASH_PAID_FOR_INT_DEBT
CF_FREE_CASH_FLOW
EBITDA
