PX_OPEN
PX_OFFICIAL_CLOSE
PX_LAST
PX_HIGH
PX_LOW
PX_VOLUME
BLOOMBERG_CLOSE_PRICE
TOT_RETURN_INDEX_GROSS_DVDS
DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
CUR_MKT_CAP
PE_RATIO
DIVIDEND_INDICATED_YIELD
EQY_DVD_YLD_12M
EQY_DVD_YLD_12M_NET
SHAREHOLDER_YIELD_EX_DEBT
SHAREHOLDER_YIELD
PX_TO_BOOK_RATIO
RETURN_COM_EQY
PX_TO_CASH_FLOW
PX_TO_FREE_CASH_FLOW
PX_TO_SALES_RATIO
BS_SH_OUT
